app_num,app_date,coapp_f_name,coapp_l_name,a_email,a_email,a_f_name,a_l_name,a_street_addr,a_city,a_state,a_postal_code,a_phone,is_approved,is_rejected,adoption_date
1,2019-01-01,Casie,Comnick,hcallaro@cancity.com,hcallaro@cancity.com,Helga,Callaro,7628 7-street,Greensboro,NJ,4569,4556917286,1,0,2019-04-16
2,2019-01-01,Selma,Maclead,fdelasancha@inity.com,fdelasancha@inity.com,France,Delasancha,2862 12-street,Newark,TX,66783,2275019405,1,0,2019-02-01
4,2019-01-02,Nana,Tollner,jblackwood@dambase.com,jblackwood@dambase.com,Judy,Blackwood,6777 15-street,Oakland,MN,61777,974760756,1,0,2019-01-09
6,2019-01-02,Quentin,Loader,acoyier@hottechi.com,acoyier@hottechi.com,Annmarie,Coyier,1379 17-street,Mesa,VA,98743,3406432705,1,0,2019-01-09
7,2019-01-03,NULL,NULL,lhamilton@labdrill.com,lhamilton@labdrill.com,Lai,Hamilton,2726 13-street,Irving,AZ,69986,4670203056,1,0,2019-03-22
10,2019-01-04,Kaitlyn,Klimek,mhollack@scottech.com,mhollack@scottech.com,Mozell,Hollack,321 12-street,Plano,NV,99069,2812000053,1,0,NULL
11,2019-01-07,Raylene,Blackwood,rgarufi@bioplex.com,rgarufi@bioplex.com,Regenia,Garufi,8020 6-street,Kansas City,AZ,14901,2817952195,1,0,2019-06-04
15,2019-01-08,Roosevelt,Springe,gkines@inity.com,gkines@inity.com,Gearldine,Kines,9024 7-street,St. Petersburg,AZ,54656,8292555533,1,0,2019-06-06
16,2019-01-08,Delisa,Keetch,amiceli@blackzim.com,amiceli@blackzim.com,An,Miceli,6950 8-street,Durham,WI,63410,212506214,1,0,2019-01-17
17,2019-01-09,Ammie,Heintzman,cscipione@kan-code.com,cscipione@kan-code.com,Cecily,Scipione,4492 21-street,Albuquerque,AZ,84625,6166913095,1,0,2019-01-28
18,2019-01-09,Lashaunda,Paulas,lmorocco@year-job.com,lmorocco@year-job.com,Lorrie,Morocco,2629 1-street,Baltimore,OK,27365,428043150,1,0,2019-01-29
20,2019-01-10,Evangelina,Crupi,jrestrepo@konmatfix.com,jrestrepo@konmatfix.com,Jettie,Restrepo,8358 20-street,Baton Rouge,TX,98180,2580479634,1,0,2019-02-21
21,2019-01-10,NULL,NULL,jlueckenbach@plussunin.com,jlueckenbach@plussunin.com,Jani,Lueckenbach,8220 17-street,Fort Wayne,FL,16818,835309870,1,0,NULL
23,2019-01-11,NULL,NULL,ggalam@ron-tech.com,ggalam@ron-tech.com,Glen,Galam,1051 20-street,Omaha,NC,70245,6803773336,1,0,2019-01-25
24,2019-01-14,Leonora,Coyier,dkines@betatech.com,dkines@betatech.com,Dorthy,Kines,9057 19-street,Sacramento,CA,75064,9497063223,1,0,NULL
25,2019-01-14,Virgina,Perin,kcraghead@sumace.com,kcraghead@sumace.com,Kayleigh,Craghead,5350 6-street,Denver,CO,22151,2945618913,1,0,2019-03-11
26,2019-01-15,Melissa,Vanheusen,dgellinger@dambase.com,dgellinger@dambase.com,Devora,Gellinger,3711 13-street,Corpus Christi,KY,3268,8628090963,1,0,2019-01-22
27,2019-01-16,NULL,NULL,hmenter@doncon.com,hmenter@doncon.com,Hillary,Menter,3773 11-street,Hialeah,NV,25516,5879884007,1,0,2019-02-14
29,2019-01-17,Vilma,Marrier,snicka@year-job.com,snicka@year-job.com,Shonda,Nicka,8687 19-street,Louisville/Jefferson County,OR,24281,2134076388,1,0,2019-02-22
30,2019-01-17,Willard,Albares,cpugh@domzoom.com,cpugh@domzoom.com,Carmela,Pugh,647 9-street,Oklahoma City,KY,85065,1757054248,1,0,2019-08-05
31,2019-01-17,Lezlie,Steffensmeier,cscipione@kan-code.com,cscipione@kan-code.com,Cecily,Scipione,4492 21-street,Albuquerque,AZ,84625,6166913095,1,0,2019-05-08
32,2019-01-18,Devora,Meinerding,jspickerman@y-corporation.com,jspickerman@y-corporation.com,Joseph,Spickerman,3992 8-street,Anaheim,CA,87162,631902612,1,0,2019-04-08
33,2019-01-18,NULL,NULL,cpagliuca@betasoloin.com,cpagliuca@betasoloin.com,Catarina,Pagliuca,2537 18-street,Chesapeake,AZ,39058,4285698314,1,0,2019-05-27
34,2019-01-21,Janine,Cetta,cpaulas@opentech.com,cpaulas@opentech.com,Carlee,Paulas,6751 6-street,St. Louis,CA,40354,7399274620,1,0,2019-03-29
35,2019-01-21,Tamar,Lawler,troyster@kan-code.com,troyster@kan-code.com,Ty,Royster,6993 11-street,Jersey City,CA,67631,7809866690,1,0,2019-01-21
36,2019-01-22,Mirta,Yglesias,ahoogland@doncon.com,ahoogland@doncon.com,Alex,Hoogland,255 12-street,Chula Vista,IN,57009,4387341818,1,0,2019-07-12
37,2019-01-22,Dorothy,Frerking,mhollack@scottech.com,mhollack@scottech.com,Mozell,Hollack,321 12-street,Plano,NV,99069,2812000053,1,0,2019-02-21
39,2019-01-23,Izetta,Myricks,eperigo@plussunin.com,eperigo@plussunin.com,Eladia,Perigo,6759 16-street,Jersey City,CA,50660,1059814975,1,0,2019-02-20
40,2019-01-23,Felix,Kitty,estenseth@cancity.com,estenseth@cancity.com,Erinn,Stenseth,6364 14-street,Lubbock,CA,12415,5878076341,1,0,2019-06-17
41,2019-01-23,NULL,NULL,kharnos@conecom.com,kharnos@conecom.com,Kanisha,Harnos,1343 15-street,Chesapeake,AZ,75142,5651564822,1,0,2019-03-05
42,2019-01-24,Jennifer,Saylors,cpugh@domzoom.com,cpugh@domzoom.com,Carmela,Pugh,647 9-street,Oklahoma City,KY,85065,1757054248,1,0,2019-02-20
44,2019-01-24,NULL,NULL,afigeroa@labdrill.com,afigeroa@labdrill.com,Alpha,Figeroa,812 21-street,Garland,FL,55207,6572550852,1,0,2019-05-16
45,2019-01-25,Wynell,Candlish,hcallaro@cancity.com,hcallaro@cancity.com,Helga,Callaro,7628 7-street,Greensboro,NJ,4569,4556917286,1,0,2019-02-04
