app_num,app_date,coapp_f_name,coapp_l_name,a_email,a_email,a_f_name,a_l_name,a_street_addr,a_city,a_state,a_postal_code,a_phone,is_approved,is_rejected
3,2019-01-01,Kristeen,Acey,amiceli@blackzim.com,amiceli@blackzim.com,An,Miceli,6950 8-street,Durham,WI,63410,212506214,0,1
5,2019-01-02,Avery,Klusman,brhym@dambase.com,brhym@dambase.com,Buddy,Rhym,6822 11-street,Colorado Springs,NE,48984,1763305209,0,1
8,2019-01-03,Mona,Deleo,lmorocco@year-job.com,lmorocco@year-job.com,Lorrie,Morocco,2629 1-street,Baltimore,OK,27365,428043150,0,1
9,2019-01-03,Yuki,Vonasek,mstem@betasoloin.com,mstem@betasoloin.com,Margart,Stem,9062 18-street,Hialeah,NV,76455,3730603927,0,1
12,2019-01-07,Nieves,Batman,lkarpel@nam-zim.com,lkarpel@nam-zim.com,Lorrine,Karpel,3646 19-street,Miami,CA,45960,3417123913,0,1
13,2019-01-07,Matthew,Rauser,kharnos@conecom.com,kharnos@conecom.com,Kanisha,Harnos,1343 15-street,Chesapeake,AZ,75142,5651564822,0,1
14,2019-01-08,Lizette,Witten,ltheodorov@opentech.com,ltheodorov@opentech.com,Louvenia,Theodorov,6164 5-street,Irving,AZ,65641,7817467627,0,1
19,2019-01-09,Thaddeus,Caudy,lmunns@toughzap.com,lmunns@toughzap.com,Lettie,Munns,3948 1-street,Oakland,MN,80297,642648839,0,1
22,2019-01-10,Serina,Jurney,aostolaza@finjob.com,aostolaza@finjob.com,Alecia,Ostolaza,781 15-street,Phoenix,AZ,81617,6965596189,0,1
28,2019-01-17,,,bmastella@kan-code.com,bmastella@kan-code.com,Brittni,Mastella,1142 11-street,Virginia Beach,GA,86605,3703831645,0,1
38,2019-01-23,,,ebowley@ganjaflex.com,ebowley@ganjaflex.com,Ernie,Bowley,3121 12-street,Plano,NV,3558,9407037638,0,1
43,2019-01-24,Delisa,Abdallah,msarao@newex.com,msarao@newex.com,Maurine,Sarao,1334 7-street,Arlington,LA,95129,4568765994,0,1
46,2019-01-25,Britt,Rhym,jblackwood@dambase.com,jblackwood@dambase.com,Judy,Blackwood,6777 15-street,Oakland,MN,61777,974760756,0,1
47,2019-01-25,Lavonna,Nicolozakes,ajuvera@groovestreet.com,ajuvera@groovestreet.com,Amie,Juvera,7335 9-street,Austin,TX,52943,6883841586,0,1
52,2019-01-29,Leonora,Motley,hseewald@j-texon.com,hseewald@j-texon.com,Helga,Seewald,4606 15-street,Colorado Springs,NE,66599,1110994610,0,1
57,2019-01-31,Mitsue,Bilden,jspickerman@y-corporation.com,jspickerman@y-corporation.com,Joseph,Spickerman,3992 8-street,Anaheim,CA,87162,631902612,0,1
62,2019-02-04,Izetta,Batman,ckannady@dambase.com,ckannady@dambase.com,Catalina,Kannady,9999 7-street,Sacramento,CA,90468,1945134801,0,1
66,2019-02-05,,,lsteffensmeier@gogozoom.com,lsteffensmeier@gogozoom.com,Lashon,Steffensmeier,824 2-street,San Francisco,CA,37737,1228445496,0,1
69,2019-02-06,Levi,Pagliuca,ttromblay@dontechi.com,ttromblay@dontechi.com,Taryn,Tromblay,3749 5-street,Cincinnati,MN,81042,7833051221,0,1
70,2019-02-06,Delmy,Theodorov,cpaulas@opentech.com,cpaulas@opentech.com,Carlee,Paulas,6751 6-street,St. Louis,CA,40354,7399274620,0,1
80,2019-02-13,,,mhollack@scottech.com,mhollack@scottech.com,Mozell,Hollack,321 12-street,Plano,NV,99069,2812000053,0,1
82,2019-02-14,Jamal,Sayaphon,chirpara@rantouch.com,chirpara@rantouch.com,Clorinda,Hirpara,4420 18-street,Milwaukee,NM,96662,5905299590,0,1
87,2019-02-18,Keneth,Engelberg,amiceli@blackzim.com,amiceli@blackzim.com,An,Miceli,6950 8-street,Durham,WI,63410,212506214,0,1
89,2019-02-18,Jeanice,Tjepkema,eadkin@stanredtax.com,eadkin@stanredtax.com,Elly,Adkin,346 21-street,Portland,NV,75532,7579751550,0,1
96,2019-02-21,Virgie,Inouye,mbolognia@finjob.com,mbolognia@finjob.com,Mitsue,Bolognia,9389 18-street,Detroit,MI,47637,779534703,0,1
105,2019-02-27,Jacqueline,Hagele,jblackwood@dambase.com,jblackwood@dambase.com,Judy,Blackwood,6777 15-street,Oakland,MN,61777,974760756,0,1
106,2019-02-27,Stephen,Wide,egrenet@y-corporation.com,egrenet@y-corporation.com,Ernie,Grenet,5073 14-street,Virginia Beach,GA,49648,1697611014,0,1
108,2019-02-28,Bernardine,Mauson,rhollack@plexzap.com,rhollack@plexzap.com,Rikki,Hollack,9390 3-street,New Orleans,CA,11929,2522640007,0,1
109,2019-02-28,Danica,Loder,tkines@sumace.com,tkines@sumace.com,Timothy,Kines,3481 14-street,Denver,CO,90861,1717769169,0,1
115,2019-03-05,Delmy,Claucherty,brhym@dambase.com,brhym@dambase.com,Buddy,Rhym,6822 11-street,Colorado Springs,NE,48984,1763305209,0,1
118,2019-03-05,Lai,Juvera,lmonarrez@goodsilron.com,lmonarrez@goodsilron.com,Larae,Monarrez,8793 2-street,Miami,CA,240,9692306614,0,1
127,2019-03-08,Wilda,Butt,jbuvens@plusstrip.com,jbuvens@plusstrip.com,Janine,Buvens,9670 11-street,Bakersfield,FL,13724,1175638045,0,1
130,2019-03-11,,,mhollack@scottech.com,mhollack@scottech.com,Mozell,Hollack,321 12-street,Plano,NV,99069,2812000053,0,1
138,2019-03-14,,,hseewald@j-texon.com,hseewald@j-texon.com,Helga,Seewald,4606 15-street,Colorado Springs,NE,66599,1110994610,0,1
142,2019-03-15,,,ccoody@sonron.com,ccoody@sonron.com,Carissa,Coody,2335 7-street,Memphis,TN,49402,8809306211,0,1
147,2019-03-19,Olive,Farrow,vkeener@kan-code.com,vkeener@kan-code.com,Virgina,Keener,6442 21-street,St. Petersburg,AZ,76382,4207746671,0,1
151,2019-03-20,Krissy,Hochard,brestrepo@xx-holding.com,brestrepo@xx-holding.com,Belen,Restrepo,3761 7-street,Jersey City,CA,71855,6101805651,0,1
