dog_id,dog_name,sex,alt_status,animal_control,surrender_date,surrender_reason,description,age_months,microchip,email,DOB,a_email
1,Katie,unknown,1,0,2019-01-03,I have decided I am allergic to the animal.," is a really well-behaved pup for her age. She is a happy, friendly girl.  Sally was fou",67,NULL,edubaldi@finhigh.com,2013-06-03,acoyier@hottechi.com
2,Cash,male,1,0,2019-01-03,I didn't know that owning an animal was this expensive,  was found curled up in a shivering ball one frosty morning in the landscaping outside of a ,121,1722217411,ncoyier@funholding.com,2008-12-03,hcallaro@cancity.com
3,Finn,male,1,0,2019-01-08,allergies are a problem," After being abandoned in rural east Texas, wandered up to a home. The kind family took h",63,332935780,srodefer@ontomedia.com,2013-10-08,jblackwood@dambase.com
4,Mimi,female,1,0,2019-01-14,The animal turned 10 and you surrender the animal when it reaches that age.,Hi I am 2 years old. I love long walks in the park and I can be a couch pot,25,3359157588,cvonasek@toughzap.com,2016-12-14,troyster@kan-code.com
5,Frankie,male,1,0,2019-01-16,The Chihuahua is too big to travel with us since we retired., I'm looking to to rehome my male Catahoula Leopard Dog/Mountain Cur.,48,7782410366,barias@xx-holding.com,2015-01-16,amiceli@blackzim.com
6,Midnight,unknown,1,1,2019-01-18,I am moving and I can't take them with me.,  is a sweet confident girl that would love a chance to love you. Please fill out an applicati,4,NULL,cjurney@groovestreet.com,2018-09-18,dgellinger@dambase.com
7,Millie,unknown,1,0,2019-01-23,didn't realize that the animal would need so much attention,is a sweet girl who would love to be in a new home for the holidays! She is 3 years old,161,9331193714,asmith@zotware.com,2005-08-23,cscipione@kan-code.com
8,Holly,female,1,0,2019-01-24,The animal turned 10 and you surrender the animal when it reaches that age., LOVES toys and has been entertaining himself in his run. But it's so much nicer to see,33,6113414225,ncoyier@funholding.com,2016-04-24,ggalam@ron-tech.com
9,Bear,male,1,0,2019-01-25,The animal chews and I don't want my belongings destroyed.," is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused ",111,3103245262,barias@xx-holding.com,2009-10-25,lpadilla@conecom.com
10,Leo,male,1,0,2019-01-28,I don't want the dog to scratch my new floors.,Hi I am 2 years old. I love long walks in the park and I can be a couch pot,62,3173249472,cvonasek@toughzap.com,2013-11-28,lmorocco@year-job.com
11,Champ,male,1,1,2019-01-29,didn't realize that the animal would need so much attention," When her dad passed away in a tragic accident, she and her “brother""  found themselv",78,NULL,nbatman@ron-tech.com,2012-07-29,kcraghead@sumace.com
12,Luke,male,1,1,2019-01-29,decided they have too many animals at home, is a sweetie pie! He's very laid back and gentle with people. He walks well on ,26,8445319611,nbatman@ron-tech.com,2016-11-29,kweglarz@streethex.com
13,Diesel,unknown,1,0,2019-01-31,My dogs pees on my baby.,  is a sweet girl that loves her people once she knows you. She is an easy going gi,161,NULL,cvonasek@toughzap.com,2005-08-31,fdelasancha@inity.com
14,Sally,female,1,0,2019-02-07,I don't want the dog to scratch my new floors.,"a beautiful Hound mix, 7 years old, and weighing 43 pounds.",46,NULL,jgiguere@openlane.com,2015-04-07,cpugh@domzoom.com
15,Maya,female,1,0,2019-02-12,I didn't know that owning an animal was this expensive,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",94,7611859882,dkeetch@golddex.com,2011-04-12,mhollack@scottech.com
16,Honey,female,1,0,2019-02-13,don't like the way the dog reacted to a child,  enjoys car rides and loves playing alon,89,9597708012,ncoyier@funholding.com,2011-09-13,hmenter@doncon.com
17,Lulu,female,1,0,2019-02-14,don't like the way the dog reacted to a child, LOVES toys and has been entertaining himself in his run. But it's so much nicer to see,29,2562552065,ncoyier@funholding.com,2016-09-14,snicka@year-job.com
18,Elvis,male,0,0,2019-02-18,My child moved to college and left their animal behind.,"is a goofy, exciteable, very well trained 8 year old pug-boxer-something mix who",36,NULL,mdeleo@funholding.com,2016-02-18,NULL
19,Marley,female,1,0,2019-02-18,upset that the dog chewed on something or had an accident, This beautiful girl found herself homeless just before the holidays and no,36,159971955,mdeleo@funholding.com,2016-02-18,eadkin@stanredtax.com
20,Mimi,female,1,0,2019-02-19,problems with the cat soiling outside the litter box,is a sweet girl who would love to be in a new home for the holidays! She is 3 years old,44,6253314653,jgiguere@openlane.com,2015-06-19,eperigo@plussunin.com
