dog_id,dog_name,sex,alt_status,animal_control,surrender_date,surrender_reason,description,age_months,microchip,email,DOB,app_num,a_email,dog_id,app_num,,app_num,a_email
1,Katie,unknown,TRUE,FALSE,1/3/2019,I have decided I am allergic to the animal.," is a really well-behaved pup for her age. She is a happy, friendly girl.  Sally was fou",67,NULL,edubaldi@finhigh.com,6/3/2013,6,acoyier@hottechi.com,1,6,,1,hcallaro@cancity.com
2,Cash,male,TRUE,FALSE,1/3/2019,I didn't know that owning an animal was this expensive,  was found curled up in a shivering ball one frosty morning in the landscaping outside of a ,121,1722217411,ncoyier@funholding.com,12/3/2008,45,hcallaro@cancity.com,2,45,,2,fdelasancha@inity.com
3,Finn,male,TRUE,FALSE,1/8/2019,allergies are a problem," After being abandoned in rural east Texas, wandered up to a home. The kind family took h",63,332935780,srodefer@ontomedia.com,10/8/2013,4,jblackwood@dambase.com,3,4,,3,amiceli@blackzim.com
4,Mimi,female,TRUE,FALSE,1/14/2019,The animal turned 10 and you surrender the animal when it reaches that age.,Hi I am 2 years old. I love long walks in the park and I can be a couch pot,25,3359157588,cvonasek@toughzap.com,12/14/2016,35,troyster@kan-code.com,4,35,,4,jblackwood@dambase.com
5,Frankie,male,TRUE,FALSE,1/16/2019,The Chihuahua is too big to travel with us since we retired., I'm looking to to rehome my male Catahoula Leopard Dog/Mountain Cur.,48,7782410366,barias@xx-holding.com,1/16/2015,16,amiceli@blackzim.com,5,16,,5,brhym@dambase.com
6,Midnight,unknown,TRUE,TRUE,1/18/2019,I am moving and I can't take them with me.,  is a sweet confident girl that would love a chance to love you. Please fill out an applicati,4,NULL,cjurney@groovestreet.com,9/18/2018,26,dgellinger@dambase.com,6,26,,6,acoyier@hottechi.com
7,Millie,unknown,TRUE,FALSE,1/23/2019,didn't realize that the animal would need so much attention,is a sweet girl who would love to be in a new home for the holidays! She is 3 years old,161,9331193714,asmith@zotware.com,8/23/2005,17,cscipione@kan-code.com,7,17,,7,lhamilton@labdrill.com
8,Holly,female,TRUE,FALSE,1/24/2019,The animal turned 10 and you surrender the animal when it reaches that age., LOVES toys and has been entertaining himself in his run. But it's so much nicer to see,33,6113414225,ncoyier@funholding.com,4/24/2016,23,ggalam@ron-tech.com,8,23,,8,lmorocco@year-job.com
9,Bear,male,TRUE,FALSE,1/25/2019,The animal chews and I don't want my belongings destroyed.," is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused ",111,3103245262,barias@xx-holding.com,10/25/2009,53,lpadilla@conecom.com,9,53,,9,mstem@betasoloin.com
10,Leo,male,TRUE,FALSE,1/28/2019,I don't want the dog to scratch my new floors.,Hi I am 2 years old. I love long walks in the park and I can be a couch pot,62,3173249472,cvonasek@toughzap.com,11/28/2013,18,lmorocco@year-job.com,10,18,,10,mhollack@scottech.com
11,Champ,male,TRUE,TRUE,1/29/2019,didn't realize that the animal would need so much attention," When her dad passed away in a tragic accident, she and her ""brother""  found themselv",78,NULL,nbatman@ron-tech.com,7/29/2012,25,kcraghead@sumace.com,11,25,,11,rgarufi@bioplex.com
12,Luke,male,TRUE,TRUE,1/29/2019,decided they have too many animals at home, is a sweetie pie! He's very laid back and gentle with people. He walks well on ,26,8445319611,nbatman@ron-tech.com,11/29/2016,51,kweglarz@streethex.com,12,51,,12,lkarpel@nam-zim.com
13,Diesel,unknown,TRUE,FALSE,1/31/2019,My dogs pees on my baby.,  is a sweet girl that loves her people once she knows you. She is an easy going gi,161,NULL,cvonasek@toughzap.com,8/31/2005,2,fdelasancha@inity.com,13,2,,13,kharnos@conecom.com
14,Sally,female,TRUE,FALSE,2/7/2019,I don't want the dog to scratch my new floors.,"a beautiful Hound mix, 7 years old, and weighing 43 pounds.",46,NULL,jgiguere@openlane.com,4/7/2015,42,cpugh@domzoom.com,14,42,,14,ltheodorov@opentech.com
15,Maya,female,TRUE,FALSE,2/12/2019,I didn't know that owning an animal was this expensive,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",94,7611859882,dkeetch@golddex.com,4/12/2011,37,mhollack@scottech.com,15,37,,15,gkines@inity.com
16,Honey,female,TRUE,FALSE,2/13/2019,don't like the way the dog reacted to a child,  enjoys car rides and loves playing alon,89,9597708012,ncoyier@funholding.com,9/13/2011,27,hmenter@doncon.com,16,27,,16,amiceli@blackzim.com
17,Lulu,female,TRUE,FALSE,2/14/2019,don't like the way the dog reacted to a child, LOVES toys and has been entertaining himself in his run. But it's so much nicer to see,29,2562552065,ncoyier@funholding.com,9/14/2016,60,snicka@year-job.com,17,60,,17,cscipione@kan-code.com
18,Elvis,male,FALSE,FALSE,2/18/2019,My child moved to college and left their animal behind.,"is a goofy, exciteable, very well trained 8 year old pug-boxer-something mix who",36,NULL,mdeleo@funholding.com,2/18/2016,#N/A,#N/A,19,59,,18,lmorocco@year-job.com
19,Marley,female,TRUE,FALSE,2/18/2019,upset that the dog chewed on something or had an accident, This beautiful girl found herself homeless just before the holidays and no,36,159971955,mdeleo@funholding.com,2/18/2016,59,eadkin@stanredtax.com,20,39,,19,lmunns@toughzap.com
20,Mimi,female,TRUE,FALSE,2/19/2019,problems with the cat soiling outside the litter box,is a sweet girl who would love to be in a new home for the holidays! She is 3 years old,44,6253314653,jgiguere@openlane.com,6/19/2015,39,eperigo@plussunin.com,21,20,,20,jrestrepo@konmatfix.com
21,Lilly,female,TRUE,FALSE,2/19/2019,I have decided I am allergic to the animal.,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",52,NULL,lmenter@plexzap.com,10/19/2014,20,jrestrepo@konmatfix.com,22,65,,21,jlueckenbach@plussunin.com
22,Oliver,male,TRUE,TRUE,2/20/2019,problems with the cat soiling outside the litter box, Handsome and elegant - that's how they describe him; was found as a str,40,NULL,srodefer@ontomedia.com,10/20/2015,65,bpoullion@opentech.com,23,29,,22,aostolaza@finjob.com
