dog_id,dog_name,sex,description,alteration_status,dob,surrender_date,surrender_reason,surrendered_by_animal_control,applicant_email,volunteer_email
1,Katie,Unknown," is a really well-behaved pup for her age. She is a happy, friendly girl.  Sally was fou",1,2013-06-03,2019-01-03,"I have decided I am allergic to the animal.",0,acoyier@hottechi.com,edubaldi@finhigh.com
2,Cash,Male,"  was found curled up in a shivering ball one frosty morning in the landscaping outside of a ",1,2008-12-03,2019-01-03,"I didn't know that owning an animal was this expensive",0,hcallaro@cancity.com,ncoyier@funholding.com
3,Finn,Male," After being abandoned in rural east Texas, wandered up to a home. The kind family took h",1,2013-10-08,2019-01-08,"allergies are a problem",0,jblackwood@dambase.com,srodefer@ontomedia.com
4,Mimi,Female,"Hi I am 2 years old. I love long walks in the park and I can be a couch pot",1,2016-12-14,2019-01-14,"The animal turned 10 and you surrender the animal when it reaches that age.",0,troyster@kan-code.com,cvonasek@toughzap.com
5,Frankie,Male," I'm looking to to rehome my male Catahoula Leopard Dog/Mountain Cur.",1,2015-01-16,2019-01-16,"The Chihuahua is too big to travel with us since we retired.",0,amiceli@blackzim.com,barias@xx-holding.com
6,Midnight,Unknown,"  is a sweet confident girl that would love a chance to love you. Please fill out an applicati",1,2018-09-18,2019-01-18,"I am moving and I can't take them with me.",1,dgellinger@dambase.com,cjurney@groovestreet.com
7,Millie,Unknown,"is a sweet girl who would love to be in a new home for the holidays! She is 3 years old",1,2005-08-23,2019-01-23,"didn't realize that the animal would need so much attention",0,cscipione@kan-code.com,asmith@zotware.com
8,Holly,Female," LOVES toys and has been entertaining himself in his run. But it's so much nicer to see",1,2016-04-24,2019-01-24,"The animal turned 10 and you surrender the animal when it reaches that age.",0,ggalam@ron-tech.com,ncoyier@funholding.com
9,Bear,Male," is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused ",1,2009-10-25,2019-01-25,"The animal chews and I don't want my belongings destroyed.",0,lpadilla@conecom.com,barias@xx-holding.com
10,Leo,Male,"Hi I am 2 years old. I love long walks in the park and I can be a couch pot",1,2013-11-28,2019-01-28,"I don't want the dog to scratch my new floors.",0,lmorocco@year-job.com,cvonasek@toughzap.com
11,Champ,Male," When her dad passed away in a tragic accident, she and her "brother"  found themselv",1,2012-07-29,2019-01-29,"didn't realize that the animal would need so much attention",1,kcraghead@sumace.com,nbatman@ron-tech.com
12,Luke,Male," is a sweetie pie! He's very laid back and gentle with people. He walks well on ",1,2016-11-29,2019-01-29,"decided they have too many animals at home",1,kweglarz@streethex.com,nbatman@ron-tech.com
